구분,서울
2021년06월21일,1468.06
2021년06월22일,1471.05
2021년06월23일,1473.12
2021년06월24일,1475.16
2021년06월25일,1477.07
2021년06월26일,1476.89
2021년06월27일,1477.94
2021년06월28일,1480.30
2021년06월29일,1483.29
2021년06월30일,1484.27
2021년07월01일,1487.30
2021년07월02일,1489.35
2021년07월03일,1489.97
2021년07월04일,1490.49
2021년07월05일,1492.99
2021년07월06일,1495.06
2021년07월07일,1498.21
2021년07월08일,1501.26
2021년07월09일,1502.89
2021년07월10일,1502.82
2021년07월11일,1503.70
2021년07월12일,1505.60
2021년07월13일,1509.14
2021년07월14일,1511.32
2021년07월15일,1513.39
2021년07월16일,1515.24
2021년07월17일,1514.71
2021년07월18일,1515.63
2021년07월19일,1517.55
2021년07월20일,1518.79
2021년07월21일,1519.26
2021년07월22일,1520.32
2021년07월23일,1520.48
2021년07월24일,1520.17
2021년07월25일,1520.47
2021년07월26일,1522.29
2021년07월27일,1523.28
2021년07월28일,1523.74
2021년07월29일,1524.10
2021년07월30일,1524.15
2021년07월31일,1523.79
2021년08월01일,1524.39
2021년08월02일,1526.96
2021년08월03일,1527.90
2021년08월04일,1528.14
2021년08월05일,1528.89
2021년08월06일,1528.29
2021년08월07일,1527.66
2021년08월08일,1528.05
2021년08월09일,1529.15
2021년08월10일,1528.73
2021년08월11일,1528.08
2021년08월12일,1528.07
2021년08월13일,1527.81
2021년08월14일,1526.35
2021년08월15일,1526.47
2021년08월16일,1527.83
2021년08월17일,1527.87
2021년08월18일,1527.25
2021년08월19일,1527.49
2021년08월20일,1526.68
2021년08월21일,1525.33
2021년08월22일,1525.23
2021년08월23일,1526.80
2021년08월24일,1526.35
2021년08월25일,1525.38
2021년08월26일,1525.42
2021년08월27일,1524.94
2021년08월28일,1523.55
2021년08월29일,1523.67
2021년08월30일,1524.92
2021년08월31일,1524.44
2021년09월01일,1524.47
2021년09월02일,1524.00
2021년09월03일,1523.67
2021년09월04일,1522.01
2021년09월05일,1521.98
2021년09월06일,1523.23
2021년09월07일,1523.21
2021년09월08일,1522.72
2021년09월09일,1522.51
2021년09월10일,1522.00
2021년09월11일,1519.42
